X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9822114.31534038,4882882.27591607,11517,Streetname - Internally Illuminated,"18"" X 72""", ,Traffic Signal Mast Arm, ,Streetname,john lee johnson way,N/A,Champaign,12635,,AERIAL,J,University 400 E Ave,8636,,{8F19D922-EB4B-4A73-BD99-5087F0053F3A}
-9821619.50890354,4882883.27745335,11518,Streetname,"18"" X 72""", ,Traffic Signal Mast Arm, ,Streetname,,D3-1,IDOT,12637,,AERIAL,J,Wright St,8637,,{E1C17E0F-F7EE-4937-8B5D-8D0A5E46C5A1}
-9821618.71723666,4882849.77380155,11519,Streetname,"18"" X 72""", ,Traffic Signal Mast Arm, ,Streetname,,D3-1,IDOT,12638,,AERIAL,J,University Avenue,8594,,{5DCB46C4-2F35-4B75-A1AE-7D99C97B6025}
-9821753.44896179,4882854.66544366,11520,Streetname,"6"" X 30""", ,Streetlight, ,Streetname,,D3-1,Champaign,12639,,AERIAL,J,S Sixth St,8672,,{FB184FFC-68BF-4225-BA8C-E3D3C8CCF0B2}
-9821620.69174943,4882719.95494547,11521,Streetname,"6"" X 30""", ,Unpunched Telespar, ,Streetname, ,D3-1,Champaign,12640,,AERIAL,J,S Wright St,8657,,{EA573E91-1F0A-4A64-AF1C-BFF18CBAA88A}
-9821618.48742429,4882581.89673182,11522,Streetname,"6"" X 30""", ,Punched Telespar, ,Streetname,,D3-1,Champaign,12641,,AERIAL,J,E White St,8154,,{97164B53-3A84-44F0-82AE-2E4AA9DD8EF9}
-9821616.55568753,4882442.82502187,11523,Streetname,"6"" X 30""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,12642,,AERIAL,J,S Wright St,8658,,{8112CC6B-17A2-4D00-96F9-AD1EF79827EA}
-9821572.63785038,4882854.65707812,11524,Streetname,"18"" X 72""", ,Traffic Signal Mast Arm, ,Streetname,,D3-1,IDOT,12643,,AERIAL,J,Wright St,8673,,{44D3BBAC-4427-4E82-BF11-BBD476BCB876}
-9821583.98933238,4882887.01101606,11525,Streetname,"18"" X 72""", ,Traffic Signal Mast Arm, ,Streetname,,D3-1,IDOT,12644,,AERIAL,J,University Avenue,8674,,{D7F781B6-E27C-4329-B3B8-8355CF5716BF}
-9821776.91092916,4882432.96065741,11526,Streetname,"6"" X 30""", ,Streetlight, ,Streetname, ,D3-1,Champaign,12645,,AERIAL,J,S Sixth St,8675,,{4EB0B1AD-66E4-449B-983D-6D16A5414B97}
-9821777.25876426,4882708.87476454,11527,Streetname,"6"" X 30""", ,Streetlight, ,Streetname, ,D3-1,Champaign,12647,,AERIAL,J,E Clark St,8677,,{22749D49-1AFE-4714-B9ED-572A339C98C0}
-9823601.38911185,4883157.3590029,11528,Streetname - Sesquicentennial,"6"" X 30""", ,Traffic Signal Standard, ,Streetname,,D3-1,Champaign,12648,,AERIAL,K,N300 State St,8678,,{C209C880-BB81-46E4-8B92-3E1146A59642}
-9823576.32832422,4883134.17611531,11529,Streetname - Downtown,"8"" X 36""", ,Streetlight, ,Streetname,,N/A,Champaign,12649,,AERIAL,K,200 N State St,8629,,{2D18CD4C-36EB-45DF-899B-CFC183328438}
-9823601.35075069,4882859.75248518,11530,Streetname - Honorary,"8"" X 36""", ,Streetlight, ,Streetname, ,N/A,Champaign,12651,,AERIAL,K,Mable Thomas St,8364,,{9F36EC86-0A82-46B8-A56A-E331A41844DC}
-9823601.35075069,4882859.75248518,11531,Streetname - Downtown,"8"" X 36""", ,Streetlight,2018,Streetname,,N/A,Champaign,12652,,AERIAL,K,100 S State St,8364,,{418D8A70-32C9-44B9-96E3-7CF58B70D866}
-9823578.67300879,4883007.84804969,11532,Streetname - Downtown,"8"" X 36""", ,Punched Telespar, ,Streetname,,N/A,Champaign,12655,,AERIAL,K,200 W Park Ave,8566,,{640310CC-3CC6-4094-AE87-075482B5743E}
